company_name,url,year_founded,city,state,country,zip_code,full_time_employees,company_type,company_category,revenue_source,business_model
Geoscape,www.geoscape.com,1995,Miami,FL,us,33135,Nov-50,Private,Lifestyle & Consumer,not reported by company,Business to Business
GetRaised,https://getraised.com,2010,New York,NY,us,10009,10-Jan,Private,Finance & Investment,Not reported by company,Business to Consumer
GitHub,https://github.com,2008,San Francisco,CA,us,94107,201-500,Private,Data/Technology,Not reported by company,"Business to Business, Business to Consumer, Business to Government, "
Glassy Media,http://www.glassymedia.com/,2012,Cambridge,MA,us,2139,10-Jan,Private,Governance,Not reported by company,Business to Consumer
Golden Helix,http://www.goldenhelix.com/,1998,Bozeman,MT,us,59718,Nov-50,Private,Scientific Research,Not reported by company,Business to Business
GoodGuide,http://www.goodguide.com,2007,San Francisco,CA,us,94111,Nov-50,Private,Lifestyle & Consumer,Not reported by company,Business to Consumer
Google Maps,https://www.google.com/maps/about/explore/,2005,Mountain View,CA,us,94043,"5,001-10,000",Public,Geospatial/Mapping,Not reported by company,"Business to Business, Business to Consumer, Business to Government"
Google Public Data Explorer,https://www.google.com/intl/en/about/,2009,Mountain View,CA,us,94043,"5,001-10,000",Public,Data/Technology,Not reported by company,"Business to Business, Business to Consumer"
Government Transaction Services,http://www.ezgrantfiling.com,2010,Vienna,VA,us,22182,10-Jan,Private,Finance & Investment,Not reported by company,Business to Business
Govini,http://www.govini.com,2011,San Francisco,CA,us,94107,Nov-50,Private,Governance,Subscriptions,Business to Business
GovTribe,govtribe.com,2012,Arlington,VA,us,22209,10-Jan,Private,Governance,"Subscriptions, User fees for web or mobile access","Business to Business, Business to Government"
"Govzilla, Inc.",fdazilla.com,2011,Yorkville,IL,us,60560,NA,Private,Governance,"Advertising, Subscriptions, Data analysis for clients, Database licensing",
gRadiant Research LLC,gradiant-research.com,2008,Concord,MA,us,1742,51-200,Private,Research & Consulting,IP licensing,
Graebel Van Lines,http://www.graebelmoving.com,1950,Aurora,CO,us,80011,"1,001-5,000",Private,Transportation,Not reported by company,"Business to Business, Business to Consumer"
"Graematter, Inc.",www.graematter.com,2000,St. Louis,MO,us,63011,10-Jan,Private,Data/Technology,"Subscriptions, Services",Business to Business
Granicus,http://www.granicus.com,1999,San Francisco,CA,us,94107,51-200,Private,Governance,Not reported by company,Business to Government
GreatSchools,greatschools.org,1998,San Francisco,CA,us,94105,51-200,Nonprofit,Education,"Advertising, Philanthropic grants",Business to Consumer
GuideStar,http://www.guidestar.org,1994,Washington,DC,us,20006,51-200,Nonprofit,Governance,"Data analysis for clients, Database licensing, Philanthropic grants, Software licensing, Subscriptions, User fees for web or mobile access",nonprofit
H3 Biomedicine,http://www.h3biomedicine.com,2010,Cambridge,MA,us,2139,51-200,Private,Scientific Research,Lead generation to other businesses,Business to Business
Harris Corporation,www.harris.com,1895,Melbourne,FL,us,32901,"10,001+",Public,Environment & Weather,"Government & Defense, Data analysis for clients, Database licensing",
"HDScores, Inc",http://hdscores.com,2012,Baltimore,MD,us,21224,10-Jan,Private,Lifestyle & Consumer,not reported by company,Business to Consumer
Headlight,HeadlightData.com,2011,Austin,TX,us,78701,10-Jan,Private,Data/Technology,"Government contract, Software licensing, Subscriptions","Business to Government, Business to Nonprofit"
Healthgrades,http://www.healthgrades.com/,1998,"Denver, CO",CO,us,80202,"501-1,000",Private,Healthcare,Not reported by company,
Healthline,http://www.healthline.com,2005,San Francisco,CA,us,94107,51-200,Private,Healthcare,Not reported by company,Business to Business
HealthMap,http://healthmap.org/,2006,Boston,MA,us,2115,Nov-50,nonprofit + commercial spinoff,Healthcare,"Data analysis for clients, Database licensing, Subscriptions",Business to Consumer
"HealthPocket, Inc.",http://www.healthpocket.com,2012,Sunnyvale,CA,us,94085,10-Jan,Private,Healthcare,Advertising,Business to Consumer
HelloWallet,http://www.hellowallet.com/,2009,Washington,DC,us,20037,Nov-50,Private,Finance & Investment,Not reported by company,"Business to Business, Business to Consumer"
HERE,http://here.com,2012,Chicago,IL,us,60606,"5,001-10,000",Private,Geospatial/Mapping,Not reported by company,
Honest Buildings,https://www.honestbuildings.com,2011,New York,NY,us,10013,Nov-50,Private,Housing/Real Estate,Not reported by company,Business to Business
HopStop,https://www.hopstop.com/,2005,New York,NY,us,10016,10-Jan,Private,Transportation,Not reported by company,Business to Consumer
Housefax,http://housefax.com/,2002,,VA,us,20169,10-Jan,Private,Housing/Real Estate,Not provided by company,Business to Consumer
How's My Offer?,http://hmo.launchrock.com/,2014,,WA,us,,NA,,Education,Not reported by company,Business to Consumer
IBM,www.ibm.com,1912,Armonk,NY,us,,"10,001+",Public,Data/Technology,"IT and business hardware, software, and services",
ideas42,ideas42.org,2008,New York,NY,us,10004,Nov-50,Nonprofit,Research & Consulting,Philanthropic grants,nonprofit
iFactor Consulting,http://www.ifactorconsulting.com,2004,Tempe,AZ,us,85281,Nov-50,Private,Research & Consulting,,Business to Business
IFI CLAIMS Patent Services,www.ificlaims.com,1955,Madison,CT,us,6443,Nov-50,Private,Data/Technology,"Database licensing, Subscriptions",Business to Business
iMedicare,http://imedicare.com,2012,New York,NY,us,10013,10-Jan,Private,Healthcare,Subscriptions,Business to Business
Impact Forecasting (Aon),http://www.aon.com/impactforecasting/impact-forecasting.jsp,1987,Chicago,IL,us,60601,"10,001+",Public,Insurance,Not reported by company,Business to Business
Impaq International,http://www.impaqint.com,2001,Columbia,MD,us,21044,201-500,Private,Research & Consulting,Not reported by company,Business to Business
Import.io,http://import.io,2012,San Francisco,CA,us,94103,Nov-50,Private,Data/Technology,"Database licensing, sell data sets","Business to Business, Business to Consumer"
IMS Health,http://www.imshealth.com/portal/site/imshealth,1954,Danbury,CT,us,6810,"5,001-10,000",Public,Healthcare,Not reported by company,Business to Business
InCadence,http://incadence.com,2012,Manassas,VA,us,20109,10-Jan,Private,Data/Technology,Not reported by company,"Business to Business, nonprofit"
indoo.rs,http://indoo.rs/,2010,Palo Alto,CA,us,94301,Nov-50,Private,Geospatial/Mapping,Not provided by company,Business to Consumer
InfoCommerce Group,http://infocommercegroup.com,2000,Bala Cynwyd,PA,us,19004,10-Jan,Private,Research & Consulting,Not reported by company,Business to Business
Informatica,http://www.informatica.com,1993,Redwood City,CA,us,94063,"1,001-5,000",Public,Data/Technology,Not provided by company,Business to Business
InnoCentive,http://www.innocentive.com,2001,Waltham,MA,us,2451,51-200,Private,Scientific Research,Not reported by company,
Innography,http://www.innography.com,2007,Austin,TX,us,78746,51-200,Private,Business & Legal Services,Subscriptions,Business to Business
Innovest Systems,http://www.innovestsystems.com,2000,New York,NY,us,10014,51-200,Private,Finance & Investment,Not provided by company,Business to Business
Inovalon,http://www.inovalon.com/pages/default.aspx,1998,Bowie,MD,us,20716,"1,001-5,000",Private,Healthcare,Not provided by company,Business to Business
Inrix Traffic,http://www.inrixtraffic.com,2005,Kirkland,WA,us,98033,201-500,Private,Transportation,Not provided by company,Business to Consumer
Intelius,http://corp.intelius.com/,2003,Bellevue,WA,us,,51-200,Private,Business & Legal Services,Not reported by company,"Business to Business, Business to Consumer"
Intermap Technologies,www.intermap.com,1996,Englewood,CO,us,80112,51-200,Public,Geospatial/Mapping,Not provided by company,"Business to Business, Business to Consumer, Business to Government"
Investormill,www.investormill.com,2012,New York,NY,us,10003,10-Jan,Private,Finance & Investment,"Database licensing, Subscriptions",Business to Business
Iodine,www.iodine.com,2013,San Francisco,CA,us,94107,10-Jan,Private,Healthcare,Not provided by company,Business to Consumer
IPHIX,iphix.net,2004,Falls Church,VA,us,22046,10-Jan,Private,Data/Technology,"Software licensing, Consulting Services","Business to Business, Business to Government"
iRecycle,http://earth911.com/irecycle/,2009,Scotsdale,AZ,us,85257,10-Jan,Public,Environment & Weather,Not reported by company,Business to Business
iTriage,itriagehealth.com,2008,Denver,CO,us,80202,51-200,Public,Healthcare,"Lead generation to other businesses, Subscriptions","Business to Business, Business to Consumer"
IVES Group Inc,http://auditanalytics.com/,2000,Sutton,MA,us,1590,Nov-50,Private,Data/Technology,"Database licensing, Subscriptions",Business to Business
IW Financial,http://info.iwfinancial.com,2001,Portland,ME,us,4102,Nov-50,Private,Finance & Investment,Not reported by company,Business to Business
JJ Keller,http://www.jjkeller.com,1953,Neenah,WI,us,54957,"1,001-5,000",Private,Business & Legal Services,Not reported by company,Business to Business
J.P. Morgan Chase,http://www.jpmorganchase.com/corporate/Home/home.htm,1799,New York,NY,us,10017,"10,001+",Public,Finance & Investment,Not reported by company,"Business to Business, Business to Consumer, Business to Government"
"Junar, Inc.",www.Junar.com,2010,McKinney,TX,us,75070,10-Jan,Private,Data/Technology,Software licensing,"Business to Business, Business to Government, academia"
Junyo,http://junyo.com,2011,Menlo Park,CA,us,94025,Nov-50,Private,Education,"Data analysis for clients, Database licensing","Business to Business, Business to Government"
Jurispect,jurispect.com,2013,Mountain View,CA,us,94043,10-Jan,Private,Business & Legal Services,"Subscriptions, User fees for web or mobile access",Business to Business
Kaiser Permanante,https://healthy.kaiserpermanente.org/html/kaiser/index.shtml,1945,Oakland,CA,us,94612,"10,001+",Nonprofit,Healthcare,Not reported by company,Business to Consumer
karmadata,www.karmadata.com,2011,Hingham,MA,us,2043,10-Jan,Private,Healthcare,Subscriptions,"Business to Business, Business to Consumer"
Keychain Logistics Corp.,www.keychainlogistics.com,2012,San Francisco,CA,us,94107,10-Jan,Private,Transportation,"Data analysis for clients, Database licensing, Online Marketplace","Business to Business, Business to Consumer"
"KidAdmit, Inc.",www.kidadmit.com,2012,San Francisco,CA,us,94107,10-Jan,Private,Education,not reported by company,Business to Consumer
Kimono Labs,kimonolabs.com,2014,San Francisco,CA,us,94110,10-Jan,Private,Data/Technology,"No revenue, investors",
KLD Research,http://www.msci.com/products/esg/#,1988,New York,NY,us,10005,51-200,Private,Finance & Investment,Not reported by company,Business to Business
Knoema,http://knoema.com/,2011,Washington,DC,us,20000,51-200,Private,Data/Technology,Not reported by company,Business to Consumer
Knowledge Agency,http://www.knowledgeagency.com/,1989,New York,NY,us,10001,NA,,Research & Consulting,Not reported by company,
KPMG,http://www.kpmg.com,1987,New York,NY,us,10154,"10,001+",Partnership,Business & Legal Services,Not reported by company,Business to Business
Kroll Bond Ratings Agency,https://www.krollbondratings.com/,2010,New York,NY,us,10022,51-200,Private,Finance & Investment,Not reported by company,Business to Business
Kyruus,http://kyruus.com,2010,Boston,MA,us,2110,51-200,Private,Healthcare,Not reported by company,Business to Business
Lawdragon,lawdragon.com,2005,New York,NY,us,10017,Nov-50,Private,Business & Legal Services,"Advertising, Data analysis for clients, Database licensing, Subscriptions",Business to Business
Legal Science Partners,www.legalsciencepartners.net,2013,Narberth,PA,us,19072,51-200,Private,Business & Legal Services,"Data analysis for clients, Database licensing, Software licensing","Business to Business, Business to Government"
(Leg)Cyte,http://www.legcyte.com,2006,Washington,DC,us,20005,NA,Public,Governance,Software licensing,
"LegiNation, Inc.",http://www.billtrack50.com/,2011,Denver,CO,us,80203,10-Jan,Private,Governance,Subscriptions,Business to Consumer
LegiStorm,http://www.legistorm.com/,2006,Washington,DC,us,20002,10-Jan,Private,Governance,Not reported by company,Business to Consumer
Lenddo,https://www.lenddo.com/pages/what_is_lenddo/office,2011,,NY,us,,51-200,Private,Finance & Investment,Not reported by company,Business to Consumer
Lending Club,https://www.lendingclub.com,2006,San Francisco,CA,us,94105,"501-1,000",Private,Finance & Investment,Not reported by company,Business to Consumer
Level One Technologies,http://www.levelonetechnologies.com,1999,Maryland Heights,MO,us,63043,10-Jan,Private,Data/Technology,Not reported by company,Business to Business
LexisNexis,http://www.lexisnexis.com/en-us/home.page,1977,New York,NY,us,10017,"10,001+",Public,Business & Legal Services,Not reported by company,Business to Business
Liberty Mutual Insurance Cos.,http://www.libertymutual.com,1912,Boston,MA,us,2116,"10,001+",Private,Insurance,Not reported by company,"Business to Business, Business to Consumer"
Lilly Open Innovation Drug Discovery,https://openinnovation.lilly.com/dd/,1876,Indianapolis,IN,us,46285,NA,,Scientific Research,Not reported by company,Business to Business
Liquid Robotics,http://liquidr.com,2007,Sunnyvale,CA,us,94089,51-200,Private,Geospatial/Mapping,Not reported by company,Business to Business
Locavore,http://www.getlocavore.com,2009,Madison,WI,us,53703,10-Jan,Private,Food & Agriculture,Not reported by company,Business to Consumer
"LOGIXDATA, LLC",www.logixdata.com,2009,Sacramento,CA,us,95811,51-200,Private,Finance & Investment,Subscriptions,Business to Business
LoopNet,http://www.loopnet.com,1995,San Francisco,CA,us,94107,201-500,Public,Housing/Real Estate,Not reported by company,Business to Consumer
"Loqate, Inc.",www.loqate.com,2009,San Mateo,CA,us,94404,Nov-50,Private,Geospatial/Mapping,"Software licensing, Subscriptions, User fees for web or mobile access",Business to Business
LoseIt.com,http://loseit.com,2008,Boston,MA,us,2210,Nov-50,Private,Lifestyle & Consumer,Not reported by company,Business to Consumer
LOVELAND Technologies,www.makeloveland.com,2010,Detroit,MI,us,48226,10-Jan,Private,Data/Technology,"Subscriptions, Special Projects","Business to Consumer, Business to Government, nonprofit"
Lucid,http://www.luciddesigngroup.com,2004,Oakland,CA,us,94607,Nov-50,Private,Energy,"Software licensing, Subscriptions","Business to Government, "
"Lumesis, Inc.",www.lumesis.com,2010,Stamford,CT,us,6901,Nov-50,Private,Data/Technology,"Subscriptions, Software licensing, Data analysis for clients, Database licensing",
Mango Transit,http://www.windowsphone.com/en-us/store/app/mango-transit/34083d75-dca6-4631-99be-4f9a3813dd73,2011,Redmond,WA,us,,NA,Private,Geospatial/Mapping,Not reported by company,Business to Consumer
Mapbox,mapbox.com,2011,Washington,DC,us,20009,Nov-50,Private,Geospatial/Mapping,"Database licensing, Philanthropic grants, Software licensing, Subscriptions, User fees for web or mobile access","Business to Business, Business to Consumer, Business to Government"
Maponics,http://www.maponics.com/,2001,White River Junction,VT,us,5001,Nov-50,Private,Geospatial/Mapping,Not reported by company,Business to Business
MapQuest,http://www.mapquest.com,1967,Denver,CO,us,80202,51-200,Public,Geospatial/Mapping,Not reported by company,Business to Consumer
"Marinexplore, Inc.",www.marinexplore.com,2012,Sunnyvale,CA,us,94085,10-Jan,Private,Geospatial/Mapping,"Data analysis for clients, Database licensing, Software licensing",Business to Business
MarketSense,http://www.marketsense.com/,2013,Sammamish,WA,us,98075,10-Jan,Private,Business & Legal Services,"Data analysis for clients, Database licensing",Business to Business
Marlin & Associates,http://www.marlinllc.com,2002,New York,NY,us,10022,Nov-50,Private,Finance & Investment,Not reported by company,Business to Business
Marlin Alter and Associates,http://www.marlinalter.com/,,,FL,us,,NA,,Business & Legal Services,Not reported by company,
McGraw Hill Financial,http://www.mhfi.com,1919,New York,NY,us,10020,"10,001+",Public,Finance & Investment,Not reported by company,Business to Business
McKinsey,http://www.mckinsey.com,1926,New York,NY,us,10022,"10,001+",Private,Research & Consulting,Not reported by company,"Business to Business, Business to Government"
MedWatcher,http://www.medwatcher.org,2010,"Boston, MA",MA,us,2115,NA,Private,Healthcare,"Data analysis for clients, Database licensing, Database licensing",
Mercaris,http://www.mercaris.com/,2012,Silver Spring,MD,us,20910,10-Jan,Private,Food & Agriculture,"Data analysis for clients, Database licensing, Subscriptions","Business to Business, Business to Consumer"
Merrill Corp.,http://www.merrillcorp.com,1968,St. Paul,MN,us,55108,"10,001+",Private,Data/Technology,Not reported by company,Business to Business
Merrill Lynch,http://www.ml.com/index.asp?id=7695_15125,1914,New York,NY,us,10080,"10,001+",Public,Finance & Investment,Not reported by company,
MetLife,https://www.metlife.com,1868,New York,NY,us,10166,"10,001+",Public,Insurance,Not reported by company,"Business to Business, Business to Consumer"
mHealthCoach,http://mhealthcoach.com,2010,Chicago,IL,us,60622,10-Jan,Private,Healthcare,Not reported by company,Business to Business
MicroBilt Corporation,http://www.microbilt.com/,1978,Kennesaw,GA,us,30144,201-500,Private,Business & Legal Services,Not provided by company,Business to Business
Microsoft Windows Azure Marketplace,http://datamarket.azure.com,2010,Redmond,WA,us,,"10,001+",Public,Data/Technology,Not reported by company,"Business to Business, Business to Consumer"
Mint,https://www.mint.com,2006,Mountain View,CA,us,94043,"5,001-10,000",Public,Finance & Investment,Not reported by company,Business to Consumer
Moody's,https://www.moodys.com,1909,New York,NY,us,10007,"1,001-5,000",Public,Finance & Investment,Not reported by company,Business to Business
Morgan Stanley,http://www.morganstanley.com,1935,New York,NY,us,10036,"10,001+",Public,Finance & Investment,Not reported by company,"Business to Business, Business to Consumer"
"Morningstar, Inc.",http://www.morningstar.com,1984,Chicago,IL,us,60602,"1,001-5,000",Public,Finance & Investment,Not reported by company,"Business to Business, Business to Consumer"
Mozio,http://www.mozio.com/,2011,,CA,us,,Nov-50,Private,Transportation,Not reported by company,Business to Business
MuckRock.com,https://www.muckrock.com,2010,Boston,MA,us,0,10-Jan,Private,Business & Legal Services,Not reported by company,Business to Consumer
Munetrix,www.munetrix.com,2010,Auburn Hills,MI,us,48326,10-Jan,Partnership,Governance,"Database licensing, Software licensing",Business to Consumer
Municode,http://www.municode.com,1951,Tallahassee,FL,us,32310,51-200,Private,Business & Legal Services,Not reported by company,Business to Business
National Van Lines,http://www.nationalvanlines.com,1901,Broadview,IL,us,60155,51-200,Private,Transportation,Not reported by company,"Business to Business, Business to Consumer, Business to Government"
Nationwide Mutual Insurance Company,http://www.nationwide.com,1926,,OH,us,,"10,001+",Private,Insurance,Not reported by company,"Business to Business, Business to Consumer"
Nautilytics,http://www.nautilytics.com,2013,Boston,MA,us,2111,10-Jan,partnership,Data/Technology,Not reported by company,"Business to Business, Business to Consumer"
Navico,www.navico.com,2005,Nashua,NH,us,3063,"1,001-5,000",Private,Geospatial/Mapping,Sale of hydrographic cartography,
NERA Economic Consulting,http://www.nera.com/,1961,,NY,us,,"501-1,000",Public,Research & Consulting,Not reported by company,Business to Business
NerdWallet,http://www.nerdwallet.com,2009,San Francisco,CA,us,94107,Nov-50,Private,Finance & Investment,Lead generation to other businesses,Business to Consumer
New Media Parents,http://mommaps.com/,2009,San Francisco,CA,us,94105,10-Jan,Private,Geospatial/Mapping,"Advertising, User fees for web or mobile access",Business to Consumer
Next Step Living,http://www.nextstepliving.com,2008,Boston,MA,us,2210,"501-1,000",Private,Energy,Not reported by company,
NextBus,http://www.nextbus.com,1997,Emeryville,CA,us,94608,Nov-50,Public,Transportation,Not reported by company,"Business to Consumer, Business to Government"
nGAP Incorporated,ngap.com,2008,Bonsall,CA,us,92003,Nov-50,Private,Governance,"Subscriptions, User fees for web or mobile access","Business to Business, Business to Government"
Nielsen,http://www.nielsen.com/us/en.html,1964,,NY,us,,"10,001+",Public,Research & Consulting,Not reported by company,"Business to Business, Business to Consumer"
Noesis,https://www.noesisenergy.com/site/,1986,Austin,TX,us,78759,Nov-50,Private,Energy,Not reported by company,Business to Business
NonprofitMetrics,https://www.nonprofitmetrics.com,2013,Washington,DC,us,20005,10-Jan,Private,Data/Technology,"Database licensing, Subscriptions",Business to Business
North American Van Lines,http://northamericanvanlines.com,1933,Fort Wayne,IN,us,46801,"501-1,000",Private,Transportation,Not reported by company,Business to Consumer
Noveda Technologies,www.noveda.com,2007,,NJ,us,,51-200,Private,Data/Technology,,"Business to Business, Business to Consumer, Business to Government"
NuCivic,http://www.nucivic.com,2011,New York,NY,us,10013,Nov-50,Private,Governance,Software licensing,"Business to Government, nonprofit"
Numedii,http://numedii.com,2008,Palo Alto,CA,us,94301,10-Jan,Private,Scientific Research,Not reported by company,"Business to Business, Business to Government"
Oliver Wyman,http://www.oliverwyman.com/index.html,1984,New York,NY,us,10036,"1,001-5,000",Public,Research & Consulting,Not reported by company,Business to Business
OnDeck,www.ondeck.com,2007,New York,NY,us,10018,201-500,Private,Finance & Investment,Growing number of small businesses we are able to serve,Business to Consumer
OnStar,https://www.onstar.com/web/portal/home?g=1,1995,Warren,MI,us,48090,"10,001+",Public,Geospatial/Mapping,Not reported by company,Business to Consumer
"Ontodia, Inc",ontodia.com,2011,New York,NY,us,10013,10-Jan,Private,Data/Technology,"Software licensing, Subscriptions","Business to Business, Business to Consumer, Business to Government"
Onvia,http://www.onvia.com,2000,Seattle,WA,us,98101,51-200,Public,Governance,Subscriptions,Business to Business
Open Data Nation,www.opendatanation.com,2015,Washington,DC,us,20011,10-Jan,Private,Research & Consulting,"Consulting, Data analysis for clients, Government contract, Lead generation to other businesses, Philanthropic grants, Software licensing, Subscriptions, User fees for web or mobile access",Business to Business
OpenCounter,http://opencounter.us,2013,,CA,us,95062,10-Jan,Permitting Assistance,Governance,"Data analysis for clients, Database licensing",Business to Government
OpenGov,http://opengov.com,2012,Mountain View,CA,us,94043,Nov-50,Private,Governance,Subscriptions,"Business to Business, Business to Consumer, Business to Government"
OpenPlans,http://openplans.org,1999,New York,NY,us,10013,Nov-50,,Governance,Not reported by company,Business to Consumer
"OpportunitySpace, Inc.",opportunityspace.org,2013,Boston,MA,us,2163,10-Jan,Private,Housing/Real Estate,"Data analysis for clients, Database licensing, Subscriptions",Business to Consumer
Optensity,http://www.optensity.com,2010,McLean,VA,us,22101,10-Jan,Private,Data/Technology,Not reported by company,"Business to Business, Business to Consumer"
optiGov,optigov.com,2013,,NJ,us,7030,10-Jan,,Governance,"Philanthropic grants, Not provided by company","Business to Consumer, Business to Government"
OptumInsight,http://www.optuminsight.com,1993,Eden Prairie,MN,us,55344,"10,001+",Public,Healthcare,Not reported by company,"Business to Business, Business to Consumer"
Orlin Research,http://www.orlinresearch.com,2005,Los Angeles,CA,us,90069,10-Jan,Private,Data/Technology,Not reported by company,"Business to Business, academia"
OSIsoft,http://www.osisoft.com,1980,San Leandro,CA,us,94577,"501-1,000",Private,Data/Technology,Not reported by company,Business to Business
OTC Markets,http://www.otcmarkets.com/home,1997,New York,NY,us,10013,51-200,Public,Finance & Investment,"Advertising, Subscriptions, User fees for web or mobile access",Business to Business
Outline,http://outline.com,2012,Somerset,NJ,us,8873,201-500,Private,Governance,Not reported by company,"Business to Business, Business to Consumer"
Oversight Systems,http://www.oversightsystems.com,2003,Atlanta,GA,us,30067,51-200,Private,Business & Legal Services,Not reported by company,Business to Business
Overture Technologies,http://www.overturecorp.com/,2000,Bethesda,MD,us,20815,10-Jan,Private,Data/Technology,Not reported by company,Business to Consumer
Owler,owler.com,2011,San Mateo,CA,us,94402,51-200,Private,Business & Legal Services,Database licensing,Business to Business
Palantir Technologies,https://www.palantir.com,2004,Palo Alto,CA,us,94301,"501-1,000",Private,Data/Technology,,Business to Business
Panjiva,www.panjiva.com,2006,New York,NY,us,10010,Nov-50,Private,,"Software licensing, Subscriptions",Business to Business
Parsons Brinckerhoff,www.pbworld.com,1885,New York,NY,us,10119,"10,001+",Private,Transportation,Consulting,
Patently-O,www.patentlyo.com,2004,Columbia,MO,us,65211,10-Jan,Private,Media,Advertising,"Business to Business, Business to Consumer"
PatientsLikeMe,http://www.patientslikeme.com,2004,Cambridge,MA,us,2141,51-200,Private,Healthcare,"Data analysis for clients, Database licensing",Business to Consumer
Pave,http://www.pave.com,2012,New York,NY,us,10013,10-Jan,Private,Finance & Investment,"Philanthropic grants, User fees for web or mobile access",Business to Business
Paxata,www.paxata.com,2012,Redwood City,CA,us,94063,Nov-50,Private,Data/Technology,Software licensing,Business to Business
"PayScale, Inc.",http://www.payscale.com,2001,Seattle,WA,us,98109,51-200,Private,Business & Legal Services,"Advertising, Data analysis for clients, Database licensing, Subscriptions","Business to Business, Business to Consumer"
PeerJ,https://peerj.com,2012,Corte Madera,CA,us,94976,10-Jan,Private,Scientific Research,Publication fees,academia
People Power,http://www.peoplepowerco.com/,2009,,CA,us,,51-200,Private,Data/Technology,,Business to Consumer
Persint,http://www.persint.com/,2012,Atlanta,GA,us,30327,10-Jan,Private,Finance & Investment,Not reported by company,Business to Consumer
Personal Democracy Media,http://personaldemocracy.com,2004,New York,NY,us,10012,10-Jan,,Governance,"Advertising, Philanthropic grants, Subscriptions, User fees for web or mobile access",Business to Consumer
"Personal, Inc.",personal.com,2009,Washington,DC,us,20007,Nov-50,Private,Lifestyle & Consumer,"Subscriptions, User fees for web or mobile access",Business to Consumer
Personalis,http://www.personalis.com,2011,Menlo Park,CA,us,94025,NA,Private,Scientific Research,Not reported by company,Business to Business
Peterson's,www.corporate.petersons.com,1966,Paramus,NJ,us,7652,51-200,Public,Education,not reported by company,Business to Consumer
PEV4me.com,http://www.pev4me.com,2011,,CA,us,94087,10-Jan,Private,Energy,"Advertising, Data analysis for clients, Database licensing, Software licensing",Business to Consumer
PIXIA Corp,www.pixia.com,1999,Reston,VA,us,20191,51-200,Private,Data/Technology,Software licensing,"Business to Business, Business to Government"
PlaceILive.com,www.placeilive.com,2012,Vilnius,AL,us,3231,10-Jan,Private,Housing/Real Estate,Venture Capital,"Business to Business, Business to Consumer"
PlanetEcosystems,http://planetecosystems.com,2009,San Francisco,CA,us,94105,Nov-50,Private,Energy,Not reported by company,"Business to Business, Business to Government"
PlotWatt,https://plotwatt.com,2008,Durham,NC,us,27712,10-Jan,Private,Energy,Not reported by company,Business to Consumer
Plus-U,https://www.unigo.com/from-plusu.aspx,2008,New York,NY,us,10016,Nov-50,,Education,Not reported by company,Business to Consumer
PolicyMap,policymap.com,2007,Philadelphia,PA,us,19103,10-Jan,Nonprofit,Geospatial/Mapping,"Philanthropic grants, Subscriptions","Business to Business, Business to Consumer, Business to Government, academia"
Politify,http://www.politify.us,2011,Berkeley,CA,us,94704,10-Jan,Private,Governance,Not reported by company,Business to Consumer
Poncho App,http://poncho.is/,2013,New York,NY,us,10014,NA,Private,Environment & Weather,Not reported by company,Business to Consumer
POPVOX,popvox.com,2010,Redwood City,CA,us,94002,10-Jan,Private,Governance,"Data analysis for clients, Database licensing","Business to Business, nonprofit"
Porch,porch.com,2012,Seattle,WA,us,98102,51-200,Private,Housing/Real Estate,Subscriptions,Business to Consumer
PossibilityU,http://www.possibilityu.com/,2010,,ME,us,,Nov-50,Private,Education,Not reported by company,Business to Consumer
PowerAdvocate,http://www.poweradvocate.com/index.html,2000,Boston,MA,us,2111,51-200,Private,Energy,Not reported by company,Business to Business
Practice Fusion,http://www.practicefusion.com,2005,San Francisco,CA,us,94102,201-500,Private,Healthcare,Not reported by company,Business to Business
Predilytics,http://www.predilytics.com,2012,Manchester,NH,us,3101,Nov-50,Private,Healthcare,Not reported by company,Business to Business
PricewaterhouseCoopers (PWC),http://www.pwc.com/us/en/index.jhtml,1998,New York,NY,us,10017,"10,001+",Private,Finance & Investment,Not reported by company,Business to Business
ProgrammableWeb,http://www.programmableweb.com,2005,Seattle,WA,us,98144,Nov-50,Public,Data/Technology,Not reported by company,"Business to Business, Business to Consumer"
Progressive Insurance Group,http://www.progressive.com,1937,Mayfield Village,OH,us,44143,"10,001+",Public,Insurance,Not reported by company,Business to Consumer
Propeller Health,http://propellerhealth.com,2010,Madison,WI,us,53703,Nov-50,Private,Healthcare,Not reported by company,"Business to Business, Business to Consumer"
ProPublica,http://www.propublica.org/,2007,New York,NY,us,10006,Nov-50,Nonprofit,Governance,Media,Business to Consumer
PublicEngines,http://www.publicengines.com/,2007,Draper,UT,us,84020,Nov-50,Private,Governance,Not reported by company,"Business to Business, Business to Consumer, Business to Government"
PYA Analytics,www.pyaanalytics.com,2013,Knoxville,TN,us,37919,Nov-50,Private,Research & Consulting,"Consulting, Data analysis for clients, Government contract","Business to Business, Business to Government"
"Qado Energy, Inc.",www.qadoenergy.com,2009,Summit,NJ,us,7901,10-Jan,Private,Energy,"Data analysis for clients, Database licensing, Software licensing",Business to Business
Quandl,http://www.quandl.com,2011,,NY,us,0,10-Jan,Private,Data/Technology,Not reported by company,"Business to Business, Business to Consumer"
Quertle,quertle.com,2008,Henderson,NV,us,89052,Nov-50,Private,Data/Technology,Software licensing,"Business to Business, Business to Consumer, academia"
