company_name,url,year_founded,city,state,country,zip_code,full_time_employees,company_type,company_category,revenue_source,business_model
BetterLesson,http://betterlesson.com,2008,Cambridge,MA,us,2140,Nov-50,Private,Education,Not reported by company,"Business to Consumer, Business to Government"
BillGuard,https://www.billguard.com,2010,New York,NY,us,11036,Nov-50,Private,Finance & Investment,User fees for web or mobile access,Business to Consumer
Bing,http://www.bing.com,2009,Redmond,WA,us,98052,"10,001+",Private,Data/Technology,Not reported by company,
Biovia,http://accelrys.com,2001,San Diego,CA,us,92121,NA,Public,Scientific Research,Not reported by company,Business to Business
BizVizz,http://bizvizz.com,2011,Milwaukee,WI,us,53202,NA,Private,Governance,Not reported by company,Business to Business
BlackRock,http://www.blackrock.com,1988,Atlanta,GA,us,30326,"10,001+",Public,Finance & Investment,Not reported by company,"Business to Business, Business to Consumer"
Bloomberg,http://www.bloomberg.com,1982,New York,NY,us,10022,"10,001+",Private,Finance & Investment,Not reported by company,"Business to Business, Business to Consumer"
Booz Allen Hamilton,http://www.boozallen.com,1914,McLean,VA,us,22102,"10,001+",Public,Research & Consulting,Not reported by company,Business to Business
Boston Consulting Group,http://www.bcg.com,1963,Boston,MA,us,2108,"5,001-10,000",Private,Research & Consulting,Not reported by company,Business to Business
Boundless,www.boundlessgeo.com,2013,New York,NY,us,10038,Nov-50,Private,Geospatial/Mapping,"Data analysis for clients, Database licensing, Subscriptions, User fees for web or mobile access",Business to Business
Bridgewater,http://www.bwater.com,1975,Westport,CT,us,6880,"1,001-5,000",Private,Finance & Investment,Not reported by company,"Business to Business, Business to Government"
Brightscope,http://www.brightscope.com/,2008,San Diego,CA,us,92122,51-200,Private,Finance & Investment,"Data analysis for clients, Database licensing, Software licensing, Subscriptions, User fees for web or mobile access",Business to Consumer
BuildFax,http://www.buildfax.com/,2008,,NC,us,,Nov-50,Private,Business & Legal Services,Not reported by company,"Business to Business, Business to Consumer"
Buildingeye,http://www.buildingeye.com,2011,Palo Alto,CA,us,90017,10-Jan,Public,Housing/Real Estate,Not reported by company,Business to Consumer
BuildZoom,www.buildzoom.com,2010,San Francisco,CA,us,94105,Nov-50,Private,Housing/Real Estate,"Advertising, Lead generation to other businesses",Business to Consumer
Business and Legal Resources,http://www.blr.com,1977,Brentwood,TN,us,37027,51-200,Private,Business & Legal Services,Not reported by company,Business to Business
Business Monitor International,www.businessmonitor.com,1984,New York,NY,us,,201-500,Private,Business & Legal Services,not reported by company,Business to Business
"Calcbench, Inc.",calcbench.com,2012,New York,NY,us,10002,10-Jan,Private,Finance & Investment,"Data analysis for clients, Database licensing, Subscriptions","Business to Business, Business to Consumer, "
Cambridge Information Group,http://www.cig.com,1971,New York,NY,us,10019,Nov-50,Private,Finance & Investment,Not reported by company,"Business to Business, Business to Consumer"
Cambridge Semantics,http://www.cambridgesemantics.com/home,2007,Boston,MA,us,2111,Nov-50,Private,Data/Technology,Not reported by company,Business to Business
CAN Capital,http://www.cancapital.com/,1998,New York,NY,us,10014,201-500,Private,Finance & Investment,Financial Products and Services,Business to Business
Canon,http://www.canon.com,1937,Melville,NY,us,11747,"10,001+",Public,Data/Technology,Not reported by company,Business to Consumer
Capital Cube,http://www.capitalcube.com,2010,Williamsville,NY,us,14221,Nov-50,partnership,Finance & Investment,Not reported by company,Business to Consumer
Cappex,www.cappex.com,2006,Chicago,IL,us,60606,51-200,Private,Education,not reported by company,Business to Consumer
Captricity,captricity.com,2011,Berkeley,CA,us,94704,10-Jan,Private,Data/Technology,"Subscriptions, User fees for web or mobile access, Monthly and Annual Subscriptions, Pay as You Go, Professional Services","Business to Business, Business to Consumer"
CareSet Systems,www.careset.com,2013,Houston,TX,us,77024,10-Jan,Private,Data/Technology,"Data analysis for clients, Software licensing, Subscriptions",Business to Business
Careset.com,www.careset.com,2013,Houston,TX,us,77024,10-Jan,Private,Data/Technology,"Data analysis for clients, Software licensing",Business to Business
CARFAX,http://www.carfax.com,1984,Centreville,VA,us,20120,"501-1,000",Private,Transportation,Not provided by company,Business to Consumer
Caspio,http://www.caspio.com/,2000,Santa Clara,CA,us,95054,51-200,Private,Data/Technology,Not reported by company,"Business to Business, Business to Consumer"
Castle Biosciences,http://www.castlebiosciences.com,2008,Friendswood,TX,us,77546,10-Jan,Private,Scientific Research,Not reported by company,Business to Consumer
CB Insights,http://www.cbinsights.com/,2009,New York,NY,us,10018,Nov-50,Private,Finance & Investment,"Lead generation to other businesses, Subscriptions, API",Business to Business
Ceiba Solutions,http://www.ceibasolutions.com,2006,Boston,MA,us,2109,51-200,Private,Scientific Research,Not reported by company,"Business to Business, Business to Consumer"
Center for Responsive Politics,www.opensecrets.org,1983,Washington DC,DC,us,20005,Nov-50,Nonprofit,Research & Consulting,Not reported by company,nonprofit
Cerner,http://www.cerner.com,1979,North Kansas City,MO,us,64117,"10,001+",Public,Healthcare,Not reported by company,Business to Business
Certara,http://www.certara.com,2008,St Louis,MO,us,63101,201-500,Private,Scientific Research,Not reported by company,"Business to Business, Business to Consumer"
CGI,http://www.cgi.com/en,1976,New York,NY,us,10004,"10,001+",Public,Business & Legal Services,Not reported by company,Business to Business
Charles River Associates,http://crai.com/,1965,,MA,us,,"501-1,000",Public,Research & Consulting,Not reported by company,Business to Business
Charles Schwab Corp.,https://www.schwab.com,1973,San Francisco,CA,us,94105,"10,001+",Public,Finance & Investment,Not reported by company,Business to Consumer
Chemical Abstracts Service,https://www.cas.org,1907,Columbus,OH,us,43202,"1,001-5,000",Nonprofit,Scientific Research,Not reported by company,Nonprofit
Child Care Desk,http://childcaredesk.com,2013,New York,NY,us,,NA,Private,Lifestyle & Consumer,Not reported by company,Business to Consumer
Chubb,http://www.chubb.com,1882,Warren,NJ,us,7059,"10,001+",Public,Insurance,Not reported by company,Business to Consumer
Citigroup,http://www.citigroup.com/citi/,1812,New York,NY,us,10022,"10,001+",Public,Finance & Investment,Not reported by company,"Business to Business, Business to Consumer, Business to Government"
CityScan,www.CityScan.com,2011,Chicago,IL,us,60654,10-Jan,Private,Geospatial/Mapping,"Data analysis for clients, Database licensing","Business to Business, Business to Government"
CitySourced,http://www.citysourced.com/,2007,Log Angeles,CA,us,90025,Nov-50,Private,Governance,Software licensing,"Business to Consumer, Business to Government"
Civic Impulse LLC,https://www.govtrack.us/civicimpulse,2009,Washington,DC,us,20004,10-Jan,Private,Governance,Advertising,"Business to Consumer, Business to Government"
Civic Insight,http://civicinsight.com,2012,San Francisco,CA,us,94103,10-Jan,Private,Housing/Real Estate,"Data analysis for clients, Database licensing","Business to Business, Business to Consumer, Business to Government"
Civinomics,civinomics.com,2011,Santa Cruz,CA,us,95060,10-Jan,Private,Governance,Lead generation to other businesses,"Business to Consumer, Business to Government"
Civis Analytics,http://civisanalytics.com/,2013,West Loop,IL,us,0,51-200,Private,Data/Technology,Not reported by company,"Business to Business, Business to Government, nonprofit"
Clean Power Finance,http://www.cleanpowerfinance.com,2006,San Francisco,CA,us,94105,51-200,Private,Energy,"Software licensing, Transaction fees across our platform","Business to Business, Business to Consumer"
ClearHealthCosts,clearhealthcosts.com,2011,New York City,NY,us,10036,10-Jan,Public,Healthcare,"Advertising, Data analysis for clients, Database licensing, Philanthropic grants, Software licensing, User fees for web or mobile access",
ClearStory Data,www.clearstorydata.com,2011,Palo Alto,CA,us,94301,51-200,Private,Data/Technology,not reported by company,Business to Business
Climate Corporation,http://www.climate.com,2007,San Francisco,CA,us,94103,51-200,Public,Food & Agriculture,Software licensing,Business to Business
CliniCast,http://clinicast.net/,2011,Millbrae,CA,us,94030,10-Jan,Private,Healthcare,"Data analysis for clients, Database licensing, Software licensing, Subscriptions, User fees for web or mobile access",Business to Business
